date,general,sales_inquiry,gate_code,account_balance,billing,account_changes,customer_support,physical_issue,wants_human,spam,other,ignore,total
2026-04-30,2,154,73,10,110,144,123,71,82,0,27,0,796
2026-05-31,2,133,95,14,124,191,162,62,61,0,22,0,866
2026-06-30,0,31,54,5,48,40,41,39,18,0,3,0,279
