date,general,sales_inquiry,gate_code,account_balance,billing,account_changes,customer_support,physical_issue,wants_human,spam,other,ignore,total
2026-04-30,19,272,90,20,127,155,140,66,130,1,56,458,1534
2026-05-31,9,243,81,14,103,146,112,37,82,1,39,513,1380
