date,Boxtel,Rijswijk,Groningen,Venlo,Roermond,Sittard,Heerlen,Bergen op Zoom,Goes,Hellevoetsluis,Tilburg,Breda,Den Haag,Utrecht,Barendrecht,Helmond,Heerlen Heerlerbaan,Rotterdam Centrum,Schiedam,Rotterdam Zuid,Alphen aan den Rijn,Alkmaar,Amsterdam,Almere,Helmond kanaaldijk,Lelystad,Eindhoven Best,Den Bosch,Nijmegen Wijchen,Company,total
2026-04-30,11,48,53,17,13,47,37,11,15,37,96,47,100,93,59,44,12,129,86,83,31,19,79,14,22,33,16,54,19,251,1576
2026-05-31,4,59,43,15,18,44,29,9,11,39,126,70,147,151,73,74,11,130,70,75,37,42,55,39,32,38,23,33,13,0,1510
2026-06-30,42,98,53,34,13,47,36,13,27,43,90,66,113,112,70,67,39,134,68,130,28,51,62,26,53,52,58,54,23,0,1702
2026-07-31,18,102,64,45,24,84,34,38,34,62,96,111,126,213,79,137,32,211,121,110,50,39,76,37,59,78,43,79,38,0,2240
2026-08-31,12,149,96,62,52,92,71,53,36,95,175,156,142,229,124,90,70,247,100,142,52,63,153,84,95,112,88,103,48,0,2991
2026-09-30,2,9,17,10,6,12,9,22,2,13,23,17,17,41,18,24,6,48,22,32,8,8,17,21,10,11,6,10,2,0,443
