date,brand,store_label,store_id,rate,unit_count
2026-04-28,1box,1Box,901416,22.69,14
2026-04-28,shurgard,Shurgard Den Bosch,900459,27.14,16
2026-04-28,allsafe,AllSafe Den Bosch,901412,28.53,15
