date,brand,store_label,store_id,rate,unit_count
2026-04-28,1box,1Box,906017,19.43,21
2026-04-28,shurgard,Shurgard Alkmaar Oudorp,900437,20.5,28
2026-04-28,allsafe,AllSafe Alkmaar,903669,24.88,22
